"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion"
"162",9,16,9052023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",9,44,10032023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",9,45,10042023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",9,51,10102023,0.623287671232877,2.07511737089202,0,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",9,52,10112023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",9,65,10242023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",9,79,11072023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",9,106,12042023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",9,109,12072023,0.623287671232877,2.07511737089202,0,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",9,115,12132023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",9,117,12152023,0.623287671232877,2.07511737089202,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",9,121,12192023,0.623287671232877,2.07511737089202,0,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",9,138,1052024,0.623287671232877,2.07511737089202,2,NA,NA,NA,NA,NA,51.105087548474,NA,"Blocking",0.277652816900995,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
